Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
GSM2159829,0.032400188394186,0.0007,0,0.29601775850892,0,0.12386961870803,0.045192560618517,0,0.0020151539472338,0.059616812282388,0.24951628204029,0,0.17516650206933,0,0,0,0,0.0007,0.014861713019944,0,0,0,0,0.7237625258508247,0.7392608412125226
GSM2159830,0.016252842148138,0.0064676237431878,0,0.33322549092756,0.018750817682065,0.053752288454096,0.036523249100636,0,0.0039216498268584,0.14132179655906,0.24321406055578,0,0.11312847073022,0,0,0.0050819538492372,0,0.0018978130529802,0.026461943370188,0,0,0,0,0.7124469193553528,0.8007979628005482
GSM2159831,0.015652038320103,0,0.0022762750401503,0.27466195904867,0.049030859058491,0.10680814516582,0.050479183237328,0,0.0005,0.03193410939627,0.1319236658856,0,0.28668521120148,0,0,0.0062760913740322,0,0.0013736833639318,0.042422694791464,0,0,0,0,0.5875102552051829,0.878744424683339
GSM2159832,0.0045093673477489,0.0077589015249118,0.0015719362919641,0.31490729704744,0.074927843868935,0.030930013241903,0.045841668125159,0,0,0,0.22594403736034,0,0.25327436652966,0,0,0.006267519073028,0,0.002399154678124,0.031667894910782,0,0,0,0,0.638447399614279,0.8264002966265509
GSM2159833,0.02472350959326,0,0,0.19540643477436,0.061261438622854,0.074558528350913,0.058815524672221,0,0,0,0.38442783606841,0,0.16624971311106,0,0,0.00852980642306,0,0.002751328448144,0.023275879935725,0,0,0,0,0.6855202450550449,0.7961795242514828
GSM2159834,0.013053536124906,0.0094741881695106,0,0.24356578101524,0.065037870973475,0,0.035968933849886,0,0.0004,0,0.29940893480577,0,0.28237586710548,0,0,0.0036504232930945,0,0,0.011334419346807,0,0,0.035689820089726,0,0.7158802791158244,0.8225498969866298
GSM2159835,0.01994005162423,0,0,0.29322568128586,0.029959872575645,0.0066029224610898,0.065802353602718,0,0.0039962571700423,0.13435431242584,0.22801033564055,0,0.17715489701998,0.0010265948036296,0,0.0045679101180005,0,0.0020357302861561,0.033323080986261,0,0,0,0,0.7238070130129334,0.7628723339099129
GSM2159836,0,0.012475383325487,0.075020608774999,0.36343538488795,0,0.044960825764421,0.029636395492842,0,0,0.036783788982722,0.19690782003939,0,0.2144675591733,0,0,0.0025953602202696,0,0.0012319692971293,0.0095632329956888,0,0,0.012921671045795,0,0.7369469115154079,0.7217115528651883
GSM2159837,0.032353292475854,0,0,0.14977861314798,0,0.17495705733415,0.092452924680157,0,0,0.0531269190067,0.24999673364487,0,0.19085742643357,0,0,0.015612917940407,0,0.006140470077757,0.034723645258555,0,0,0,0,0.569433632294243,0.9049264421128637
GSM2159838,0.0065036357481749,0,0.0012778463650921,0.16127709832098,0.2126144905607,0.053096002610433,0.087257468378424,0,0,0.14927797233755,0.16875061400878,0,0.087382760902433,0.012598740390741,0,0.011146106669663,0,0.0081568439691121,0.040660419737918,0,0,0,0,0.5622720765086886,0.891148300745184
GSM2159839,0.013063604980649,0,0,0.18128197794789,0.11258101613797,0.057686785051654,0.0072757923895254,0,0.0084866791666937,0,0.36536829596207,0,0.22835566029127,0.0016881620786335,0,0,0,0.0017361943503266,0.02247583164332,0,0,0,0,0.6869121208636609,0.8064317336952966
GSM2159840,0,0.0083924703717647,0,0.18567140022587,0.12382898471577,0.049953247363521,0.035047173983314,0,0,0,0.15184573124956,0,0.41453807277036,0.022093254341783,0,0,0,0.0015076116765479,0.0071220533015184,0,0,0,0,0.5616501603565962,0.8792027864728087
GSM2159841,0.001079341356349,0.0025898022561958,0,0.21916070431251,0.051356287185768,0.12610906683073,0.020228117642585,0,0.0008,0,0.17412557910964,0,0.31554752090979,0,0,0,0,0.0017497767288585,0.013888338492533,0,0,0.073382555425274,0,0.6825472033200681,0.7651724884335851
GSM2159842,0.0081548728220183,0.015831802362982,0,0.31608193555113,0.027352335472979,0.027270092010084,0.022996198502547,0,0.0011554566152521,0,0.30118011309745,0,0.26029920349299,0.0025824560793387,0,0,0,0.0002,0.01694524694149,0,0,0,0,0.6729548159919332,0.8215226516996944
GSM2159843,0.075180007037685,0,0,0.20838232096111,0.0066478141008308,0.10408656809338,0.043007595725427,0,0,0,0.21324259258908,0,0.33086495825942,0.0008,0,0,0,0.0005,0.017252458901786,0,0,0,0,0.6447397759002733,0.8051139322716572
GSM2159844,0.0021800652741887,0.0084409377034345,0,0.21304900786347,0.032655328025671,0.063077625193157,0.051911000982147,0,0,0.036028915390026,0.29072434222921,0,0.2569621078661,0,0,0.0002,0,0.0017085370407619,0.02756735210365,0,0,0.015543639550215,0,0.7158686711933682,0.7516904189639552
GSM2159845,0,0.014644979049166,0,0.1876253439705,0.010296966536287,0.11047817989584,0.025485612116161,0,0,0,0.43004646894145,0,0.21609881906971,0,0,0,0,0.0009,0.0044586556559206,0,0,0,0,0.7378158546774563,0.7685538077462791
GSM2159846,0.0098551586446002,0.0037501958449474,0,0.3107572005335,0.037995764693871,0,0.021180568855625,0,0.0021645509266312,0,0.25758960633331,0.012625732403466,0.32975439772179,0.0003,0,0,0,0.0018444809239492,0.012137276714572,0,0,0,0,0.6708940025412725,0.8009689066502843
GSM2159847,0.0030750094920376,0.019826963391028,0,0.21059371616179,0,0.098386275679624,0.057365078643465,0,0,0.0031812371093007,0.30905628464211,0,0.26700172181069,0.0096131388559151,0,0,0,0,0.021890280712445,0,0,0,0,0.6254809665696839,0.8906856841574576
GSM2159848,0,0.030086526975888,0.038820159540445,0.35740309230702,0,0.10569170116724,0.0051377297861664,0,0.024682114006186,0,0.2232580029436,0,0.19269243805026,0.001889597283106,0,0,0,0.001752630359033,0.018586007581052,0,0,0,0,0.5775756948945149,0.9027373792602383
GSM2159849,0.015867572620462,0.0092822765124463,0,0.41340042204005,0,0.071150723856766,0,0,0.0039342634169825,0.035104881249255,0.19270408911041,0.003137271537845,0.24562653890471,0,0,0.0002,0,0,0.0096015672452629,0,0,0,0,0.7055310091644486,0.8003593219204961
GSM2159850,0.01923347550713,0.010628034943625,0,0.15297662885363,0.058155801701366,0.14872269558261,0.019212227592395,0,0,0.068650310857514,0.21665845149196,0,0.27895769278946,0.0013996441041546,0,0,0,0.0007,0.015226736799685,0,0,0.0094916462743038,0,0.6989116031258806,0.785946126807687
GSM2159851,0.0069596042069496,0,0,0.34657498293743,0,0.091919589416282,0.024613985306782,0,0,0.0065366141240179,0.23088024616008,0,0.24502755726235,0.0036589570974249,0,0.0023356744896857,0,0.0023261278614239,0.039166661137573,0,0,0,0,0.6567438501082069,0.8760731515279258
GSM2159852,0.011193458606819,0,0,0.25390916134036,0.038759456186906,0.078166258251833,0.027529739229258,0,0.0087845561356189,0,0.20605439872008,0,0.330263068422,0,0,0.0093959155130412,0,0.0025162903945773,0.03342769719951,0,0,0,0,0.6830694764045708,0.7787094815551058
GSM2159853,0.032228241568348,0,0,0.27348488689511,0.06117136482804,0.13100414219227,0,0,0,0,0.1557446721369,0.046883995818839,0.2913366677335,0,0,0.0013904423823586,0,0.0008,0.0060020111335357,0,0,0,0,0.656197456904774,0.8229663800771545
GSM2159854,0.12066756084583,0,0.0050785359617866,0.25972072553353,0.0081156448050684,0.016520339490925,0.017602888514821,0,0.018390001728476,0,0.069393834825995,0,0.46509607860371,0.011340951482456,0,0.0004,0,0,0.0077017577025677,0,0,0,0,0.6627766661275812,0.7990071329022752
GSM2159855,0.068169323811234,0,0.066029317694005,0.25882189074895,0,0,0.020385088514619,0,0.044221128717795,0.099798361843865,0.074019743460076,0,0.35739259042215,0.0036743110238894,0,0.0071307469261484,0,0,0.0004,0,0,0,0,0.710647965011158,0.71495788419635
GSM2159856,0.006560044330633,0,0,0.15064254599274,0.056214590178191,0,0.037696878663073,0,0.0010758738765217,0,0.049436847784982,0.0086934834690422,0.472355145669,0.027459301349256,0,0,0,0.0048065634267131,0.035010253444048,0,0,0.1500484718158,0,0.6903582525532475,0.79274340172134
GSM2159857,0,0.019795270281274,0.044427931978827,0.1436589369537,0.021215917012302,0.13472492066066,0.03774283349028,0,0,0.015876995273907,0.12918276311952,0.013559866445754,0.4108910371248,0.0042446461953649,0,0,0,0.010931335641751,0.013747545821863,0,0,0,0,0.6917749247767283,0.7363240821506151
GSM2159858,0.024247563266658,0.0073110427180763,0.0006,0.28321852288595,0.014130782213345,0,0.067554436651944,0,0.0083418819322749,0.1249849953993,0.024209474111916,0,0.40077403638332,0.010451588383365,0,0,0,0.0030445767147532,0.019727560404235,0,0,0.011372536873002,0,0.6296872278091289,0.8149153944432933
GSM2159859,0.0007,0.092381943396676,0.014735088053098,0.36489091447205,0.043861926774472,0,0.021306706302947,0,0.053467886275049,0,0.028076555681644,0,0.3143750760464,0.021719272113921,0,0,0,0.011490067431,0.032969612125274,0,0,0,0,0.6041387714725415,0.8221476992370017
GSM2159860,0.11633450864753,0,0.0039292886874963,0.30025927954237,0,0,0.030984631044009,0,0.033524887094416,0,0.083092277647315,0,0.41587703327152,0,0,0.0078871588527349,0,0.0023184579234706,0.0057924772891437,0,0,0,0,0.7169339607662997,0.7090939808688187
GSM2159861,0.083692604928469,0,0.003100230162128,0.069644344020658,0.015055901084038,0.10391984278655,0.010708533708074,0,0.0026988130026626,0.010519694227495,0.042088410805192,0.0036025805708811,0.64732776956537,0,0,0,0,0.0025737195926808,0.0027183092572894,0,0,0.0023492462885145,0,0.5776705264067311,0.9325066752985127
GSM2159862,0.0036956947500627,0.012480303978535,0.031471366115706,0.23382004553246,0.045259340891506,0.10849918465228,0.031136498064709,0,0.026463568003581,0.017678348926262,0.10104465634043,0.0047052502047021,0.34563866048373,0.0072151488653537,0,0,0,0.0016452518479987,0.029246681342676,0,0,0,0,0.6737169647865219,0.7470609027569074
GSM2159863,0.016495479373437,0.010849853538163,0.0053461070164801,0.25538035809925,0.018619296502511,0.18451500944838,0.031151768817644,0,0.0001,0,0.082402178161548,0,0.35927524987012,0.0055362455111694,0,0,0,0.0035977059552598,0.022647709665414,0,0,0.004099893589626,0,0.6130779579890188,0.830537458023245
GSM2159864,0.063541651901413,0.0059140798764295,0.056374631330416,0.17866685436366,0.037019357324973,0.11007237907925,0.0054824095994716,0,0.054678711474918,0.029925103237485,0.049141717096432,0.0025985078255068,0.38176131690452,0.0044267150433219,0,0,0,0.0079792803860395,0.012417284556161,0,0,0,0,0.6745260008137406,0.7699524197754921
GSM2159865,0.018320511070832,0,0.0080307222745111,0.1380356257987,0,0.162034709182,0.044276420175708,0,0,0.077044106671803,0.19508769326621,0,0.33890708478747,0,0,0,0,0.0011987308401216,0.0034712037832257,0,0,0.013593192149409,0,0.665545414380586,0.8066192159798746
GSM2159866,0.021620282859289,0.028584875290764,0.0038830970021457,0.30307930610305,0,0.059325566731843,0.019507747196836,0,0.01368195846557,0,0.10361190630178,0,0.42807518088622,0.013523620296408,0,0,0,0,0.0051064588660916,0,0,0,0,0.6092333449218459,0.8475362445018347
GSM2159867,0.057005649887121,0,0,0.36868064603005,0.026166095877025,0.069120344166254,0.0062369540171758,0,0.039344727049553,0,0.053322580970802,0.0088032894911716,0.33079445706087,0.015548822343775,0,0.0042954832890998,0,0.0021483381722635,0.018532611644832,0,0,0,0,0.5479391424851321,0.916489725993556
GSM2159868,0.039732239070927,0,0,0.13101023597349,0,0.1614967663938,0.042978484063161,0,0.011917716053674,0.071635030613226,0.0882153622553,0,0.37652091472498,0.052554027447543,0,0.0052756075737404,0,0.0087031139875251,0,0.0024454223023758,0,0.0075150795402602,0,0.5154257004676811,0.9465272317460491
GSM2159869,0.0121751839886,0.021351284361817,0,0.10694605158357,0.14140245662724,0,0,0,0.03399548681631,0.026559756538326,0.012795852534318,0,0.5161557026693,0.061206752620632,0,0.024707839352734,0,0.007330004052086,0.035373628855072,0,0,0,0,0.507190761974177,0.9442295584026177
GSM2159870,0.0196072707651,0.0088814795321962,0.0067521193218372,0.38730507968824,0.021915863006949,0,0.025463570659331,0,0.073986330430069,0,0.055976046357561,0,0.3759460798051,0.0077145951161784,0,0.0055040815349219,0,0,0.0091444661974102,0,0,0.0018030175851022,0,0.6496844961329151,0.8353193341781604
GSM2159871,0.041276754611111,0,0.0057780951527444,0.10193842336829,0.017268276797687,0,0.0084660135227161,0,0.012398575837465,0.04347211101001,0.070484941118269,0,0.66079468697421,0.014741740549035,0,0.0018769692672994,0,0,0.021503411791153,0,0,0,0,0.7375477054756442,0.7313427281240124
GSM2159872,0.043995524713319,0,0.023246159921282,0.08601054573784,0.04215406503837,0.14132681644896,0.027254919373031,0,0.014581645762586,0,0.011371805510581,0,0.56825398123386,0.0066802213256786,0,0,0,0.0028820073750997,0.030584358375986,0,0,0.0016579491834028,0,0.5516408807958556,0.8991351728834835
GSM2159873,0,0.0032415237449732,0.063916353265518,0.15591830062024,0,0,0.15921225240718,0,0,0.11594994054281,0.10675591534568,0,0.36449662359781,0,0,0.0052095501246349,0,0.0003,0.016212213916559,0,0.008739911322807,0,0,0.5900691653846392,0.8466166527760426
GSM2159874,0.062766055738995,0,0.0039548328934468,0.2993657958535,0.010867423407351,0.068141048029803,0.031410007216192,0,0,0,0.17015219770319,0,0.32565661773886,0.001902219805221,0,0.0019687957806809,0,0.0014268662521972,0.014385350305483,0,0,0.0080027892750704,0,0.7185964118249356,0.7143545010492768
GSM2159875,0.044269889330249,0,0.026259680001301,0.16222282831341,0.076217544639111,0,0.023664112759019,0,0.0013401751395574,0.016634638280355,0.029018615171648,0.069637425232168,0.39560708961706,0,0,0,0,0.0076901109931737,0.0069085442845627,0,0,0.14052934623839,0,0.6090024266682288,0.8725341330647327
GSM2159876,0,0.068690592637114,0,0.19800578694257,0.043273498363039,0.14599136769187,0.020604039329534,0,0.06969635301636,0.0092941751045427,0,0.018283006542168,0.36198400439952,0,0.0006,0,0.0022095772425842,0.0047075976684725,0.056696390895527,0,0,0,0,0.6385475486998113,0.7869912321737413
GSM2159877,0.018224057039875,0.015485471830325,0.033383154030123,0.12829427029523,0,0.057677624790188,0.10651591871973,0,0,0.014284706302479,0.20860485282332,0,0.39412206545616,0.0021653114450357,0,0,0,0.0082539076252325,0.012988659642303,0,0,0,0,0.6593299278139924,0.7747201308057101
GSM2159878,0,0.044527145233309,0.027476022482002,0.15703512488149,0.10246547581093,0.026138105203282,0.0027577942226078,0,0.055072839230316,0,0,0.062696009972344,0.30485849994368,0.042509239929439,0.0022457572937503,0,0,0.012436877790791,0.10076399634258,0,0,0.059017111663473,0,0.2680320069291385,1.0765436525429994
GSM2159879,0,0.01939775513765,0.028439956850366,0.13310880109228,0,0.24619100389161,0.013595152316468,0,0.022208607347283,0.076237855197777,0,0.019275118761374,0.40574255940322,0.014647856779163,0,0,0,0.0036559249531786,0.017499408269633,0,0,0,0,0.4596389441956738,0.956392445018953
GSM2159880,0.10415193421761,0,0.015228980309941,0.25932040191182,0,0.10007190417906,0.039879494958973,0,0.030929497705604,0,0.16001453746939,0,0.28776056571251,0.0018376830543704,0,0,0,0.0008,0,0,0,0,0,0.6342727209422646,0.8110602074949712
GSM2159881,0.085781731439124,0,0.0051165301305324,0.12401933964917,0,0.26899980653936,0,0,0.039292376728836,0,0.066054851793245,0,0.3726796791742,0.0029638656755811,0,0,0,0.0027500567623324,0.0081662706221882,0,0,0.02417549148543,0,0.6154815786609401,0.8355763377061117
GSM2159882,0,0.0084405459804557,0,0.22974087426391,0.089799610655068,0.13848507647632,0.0060770219324711,0,0.029325183480982,0,0.16155332130422,0,0.30115254454411,0.010676837810548,0,0,0,0.0061078183247754,0.017955042571121,0,0,0.0007,0,0.5830021664179236,0.8707694118747852
GSM2159883,0.020804941736555,0.01530519773315,0.045438149413319,0.39508426944897,0.02808157656003,0.043885199992148,0.015027746139535,0,0,0.013759407995947,0.082461692404754,0,0.32524352842301,0.0059362271620877,0,0,0,0.00692927414212,0.0020427888483802,0,0,0,0,0.6988591768838494,0.7531788477818697
